iter	Passed	Remaining
354	395726	5177889
355	396858	5176991
356	398026	5176570
357	399082	5174692
358	400120	5172588
359	401232	5171440
360	402385	5170818
361	403413	5168600
362	404535	5167576
363	405685	5166917
364	406750	5165171
365	407852	5163906
366	408957	5162667
367	410087	5161748
368	411218	5160843
369	412217	5158289
370	413241	5156055
371	414363	5155035
372	415486	5154035
373	416605	5152987
374	417721	5151901
375	418853	5151009
376	419903	5149102
377	421030	5148157
378	422161	5147249
379	423222	5145499
380	424376	5144874
381	425408	5142766
382	426550	5141990
383	427622	5140379
384	428630	5138002
385	429667	5135972
386	430685	5133722
387	431794	5132569
388	432914	5131542
389	433903	5128958
390	435084	5128652
391	436121	5126649
392	437289	5126195
393	438321	5124128
394	439485	5123617
395	440656	5123192
396	441708	5121366
397	442765	5119614
398	443889	5118630
399	445017	5117698
400	446159	5116921
401	447358	5116799
402	448411	5115003
403	449552	5114216
404	450701	5113510
405	451821	5112486
406	452955	5111603
407	453990	5109618
408	455023	5107607
409	456073	5105797
410	457223	5105109
411	458402	5104731
412	459514	5103611
413	460639	5102635
414	461758	5101601
415	462901	5100817
416	464056	5100172
417	465082	5098103
418	466143	5096430
419	467272	5095497
420	468404	5094589
421	469543	5093772
422	470670	5092810
423	471817	5092067
424	472962	5091305
425	474084	5090290
426	475219	5089407
427	476304	5087999
428	477457	5087319
429	478500	5085455
430	479615	5084368
431	480724	5083221
432	481767	5081371
433	482916	5080642
434	484043	5079675
435	485189	5078914
436	486312	5077908
437	487329	5075794
438	488381	5074049
439	489537	5073388
440	490688	5072668
441	491741	5070945
442	492811	5069393
443	493936	5068414
444	494989	5066692
445	496125	5065815
446	497318	5065526
447	498453	5064639
448	499607	5063947
449	500726	5062902
450	501866	5062068
451	503021	5061372
452	504169	5060615
453	505220	5058885
454	506234	5056785
455	507361	5055811
456	508344	5053415
457	509504	5052772
458	510540	5050904
459	511728	5050536
460	512821	5049233
461	513851	5047314
462	514987	5046433
463	516159	5045904
464	517298	5045054
465	518455	5044376
466	519595	5043522
467	520664	5041985
468	521685	5039996
469	522766	5038579
470	523906	5037732
471	525079	5037203
472	526227	5036430
473	527332	5035250
474	528370	5033420
475	529433	5031844
476	530557	5030844
477	531664	5029683
478	532771	5028515
479	533800	5026621
480	534813	5024582
481	535959	5023785
