iter	RMSE
0	2.770456513
1	2.309238701
2	1.92630624
3	1.606723816
4	1.340865737
5	1.1205543
6	0.9363077002
7	0.7836535727
8	0.6570754767
9	0.5524000555
10	0.4663036743
11	0.3948950262
12	0.3364983048
13	0.2885866788
14	0.2500214485
15	0.2191663732
16	0.194054413
17	0.1742142028
18	0.1588517492
19	0.1470033889
20	0.1382485563
21	0.1310591605
22	0.1256799104
23	0.1216968869
24	0.1184688343
25	0.1160363991
26	0.114030435
27	0.1126691745
28	0.1116561065
29	0.1107256967
30	0.1096830529
31	0.1089190252
32	0.1083559086
33	0.1077994711
34	0.1072487623
35	0.1067897848
36	0.1063838057
37	0.1056892729
38	0.1052169278
39	0.1046381093
40	0.1042021396
41	0.103690405
42	0.1034193975
43	0.1031797082
44	0.1027433932
45	0.1023373549
46	0.1018888552
47	0.1015552547
48	0.1013086611
49	0.1009278905
50	0.100532827
51	0.1002117442
52	0.0999358072
53	0.0995897906
54	0.09928259721
55	0.09906054645
56	0.09863378037
57	0.09832450951
58	0.09809938162
59	0.09788513064
60	0.0976960651
61	0.09745225718
62	0.09724313749
63	0.09707121981
64	0.09686354952
65	0.09671284513
66	0.09638227258
67	0.09621957452
68	0.09600319997
69	0.09584636978
70	0.09568707172
71	0.09549213704
72	0.09520887989
73	0.09506662439
74	0.09493738297
75	0.09480242568
76	0.0946557264
77	0.09448724446
78	0.0943648414
79	0.09422064675
80	0.09409878179
81	0.09399676061
82	0.09389030497
83	0.09365099905
84	0.09354769534
85	0.09337681047
86	0.09322686062
87	0.09309365101
88	0.09296737627
89	0.09284284
90	0.0927340576
91	0.09257783475
92	0.09249132119
93	0.09238499437
94	0.09222479595
95	0.09213033051
96	0.09203210715
97	0.09193291767
98	0.09182868302
99	0.09175631085
100	0.0916082225
101	0.09133692264
102	0.09118716904
103	0.09110333459
104	0.09103274784
105	0.09092272066
106	0.09080606648
107	0.09071348223
108	0.09059833868
109	0.0905199844
110	0.09040424991
111	0.09031229027
112	0.09017905808
